policy,mode,domain,tp,fp,fn,precision,recall,f1
secure,combined,Chats,116,8,3,0.935484,0.974790,0.954733
secure,combined,E-Mail,59,0,8,1.000000,0.880597,0.936508
secure,combined,HR-Dokumente,74,4,8,0.948718,0.902439,0.925000
secure,combined,Supporttickets,40,0,3,1.000000,0.930233,0.963855
secure,combined,Verträge,80,4,19,0.952381,0.808081,0.874317
secure,ner,Chats,78,8,9,0.906977,0.896552,0.901734
secure,ner,E-Mail,17,3,8,0.850000,0.680000,0.755556
secure,ner,HR-Dokumente,32,4,10,0.888889,0.761905,0.820513
secure,ner,Supporttickets,14,0,3,1.000000,0.823529,0.903226
secure,ner,Verträge,40,6,32,0.869565,0.555556,0.677966
secure,regex,Chats,38,1,0,0.974359,1.000000,0.987013
secure,regex,E-Mail,42,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,42,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,26,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,40,0,1,1.000000,0.975610,0.987654
