policy,mode,label,tp,fp,fn,precision,recall,f1
secure,combined,DATUM,72,0,0,1.000000,1.000000,1.000000
secure,combined,E_MAIL,39,0,0,1.000000,1.000000,1.000000
secure,combined,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,combined,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,combined,LOC,34,4,12,0.894737,0.739130,0.809524
secure,combined,ORG,42,11,11,0.792453,0.792453,0.792453
secure,combined,PER,107,0,15,1.000000,0.877049,0.934498
secure,combined,PLZ,21,1,0,0.954545,1.000000,0.976744
secure,combined,STRASSE,21,0,1,1.000000,0.954545,0.976744
secure,combined,TELEFON,20,0,0,1.000000,1.000000,1.000000
secure,combined,URL,11,0,0,1.000000,1.000000,1.000000
secure,ner,LOC,34,5,12,0.871795,0.739130,0.800000
secure,ner,ORG,42,14,11,0.750000,0.792453,0.770642
secure,ner,PER,107,2,15,0.981651,0.877049,0.926407
secure,ner,STRASSE,0,0,22,0.000000,0.000000,0.000000
secure,regex,DATUM,72,0,0,1.000000,1.000000,1.000000
secure,regex,E_MAIL,39,0,0,1.000000,1.000000,1.000000
secure,regex,IBAN,2,0,0,1.000000,1.000000,1.000000
secure,regex,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
secure,regex,PLZ,21,1,0,0.954545,1.000000,0.976744
secure,regex,STRASSE,21,0,1,1.000000,0.954545,0.976744
secure,regex,TELEFON,20,0,0,1.000000,1.000000,1.000000
secure,regex,URL,11,0,0,1.000000,1.000000,1.000000
