policy,domain,structure,tp,fp,fn,precision,recall,f1
secure,Chats,regular,45,3,1,0.937500,0.978261,0.957447
secure,Chats,structured,28,5,1,0.848485,0.965517,0.903226
secure,Chats,unstructured,44,0,1,1.000000,0.977778,0.988764
secure,E-Mail,regular,16,0,2,1.000000,0.888889,0.941176
secure,E-Mail,structured,21,1,2,0.954545,0.913043,0.933333
secure,E-Mail,unstructured,22,0,4,1.000000,0.846154,0.916667
secure,HR-Dokumente,regular,27,1,1,0.964286,0.964286,0.964286
secure,HR-Dokumente,structured,26,2,5,0.928571,0.838710,0.881356
secure,HR-Dokumente,unstructured,22,1,1,0.956522,0.956522,0.956522
secure,Supporttickets,regular,12,0,1,1.000000,0.923077,0.960000
secure,Supporttickets,structured,13,0,1,1.000000,0.928571,0.962963
secure,Supporttickets,unstructured,16,0,0,1.000000,1.000000,1.000000
secure,Verträge,regular,26,1,7,0.962963,0.787879,0.866667
secure,Verträge,structured,28,3,8,0.903226,0.777778,0.835821
secure,Verträge,unstructured,27,0,3,1.000000,0.900000,0.947368
