policy,mode,domain,structure,tp,fp,fn,precision,recall,f1
secure,combined,Chats,regular,43,4,2,0.914894,0.955556,0.934783
secure,combined,Chats,structured,28,5,1,0.848485,0.965517,0.903226
secure,combined,Chats,unstructured,43,0,2,1.000000,0.955556,0.977273
secure,combined,E-Mail,regular,16,1,2,0.941176,0.888889,0.914286
secure,combined,E-Mail,structured,22,0,1,1.000000,0.956522,0.977778
secure,combined,E-Mail,unstructured,21,1,5,0.954545,0.807692,0.875000
secure,combined,HR-Dokumente,regular,27,1,1,0.964286,0.964286,0.964286
secure,combined,HR-Dokumente,structured,26,2,5,0.928571,0.838710,0.881356
secure,combined,HR-Dokumente,unstructured,21,1,2,0.954545,0.913043,0.933333
secure,combined,Supporttickets,regular,11,0,2,1.000000,0.846154,0.916667
secure,combined,Supporttickets,structured,13,0,1,1.000000,0.928571,0.962963
secure,combined,Supporttickets,unstructured,16,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,regular,24,2,8,0.923077,0.750000,0.827586
secure,combined,Verträge,structured,28,6,8,0.823529,0.777778,0.800000
secure,combined,Verträge,unstructured,27,0,3,1.000000,0.900000,0.947368
secure,ner,Chats,regular,30,2,2,0.937500,0.937500,0.937500
secure,ner,Chats,structured,20,5,1,0.800000,0.952381,0.869565
secure,ner,Chats,unstructured,31,1,3,0.968750,0.911765,0.939394
secure,ner,E-Mail,regular,3,1,2,0.750000,0.600000,0.666667
secure,ner,E-Mail,structured,8,1,1,0.888889,0.888889,0.888889
secure,ner,E-Mail,unstructured,6,2,5,0.750000,0.545455,0.631579
secure,ner,HR-Dokumente,regular,14,1,1,0.933333,0.933333,0.933333
secure,ner,HR-Dokumente,structured,9,2,6,0.818182,0.600000,0.692308
secure,ner,HR-Dokumente,unstructured,10,1,2,0.909091,0.833333,0.869565
secure,ner,Supporttickets,regular,4,0,2,1.000000,0.666667,0.800000
secure,ner,Supporttickets,structured,4,0,1,1.000000,0.800000,0.888889
secure,ner,Supporttickets,unstructured,6,0,0,1.000000,1.000000,1.000000
secure,ner,Verträge,regular,16,2,8,0.888889,0.666667,0.761905
secure,ner,Verträge,structured,17,7,8,0.708333,0.680000,0.693878
secure,ner,Verträge,unstructured,18,1,4,0.947368,0.818182,0.878049
secure,regex,Chats,regular,15,2,1,0.882353,0.937500,0.909091
secure,regex,Chats,structured,9,0,0,1.000000,1.000000,1.000000
secure,regex,Chats,unstructured,13,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,regular,13,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,structured,14,0,0,1.000000,1.000000,1.000000
secure,regex,E-Mail,unstructured,15,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,regular,14,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,structured,17,0,0,1.000000,1.000000,1.000000
secure,regex,HR-Dokumente,unstructured,11,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,regular,7,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,structured,9,0,0,1.000000,1.000000,1.000000
secure,regex,Supporttickets,unstructured,10,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,regular,12,0,0,1.000000,1.000000,1.000000
secure,regex,Verträge,structured,16,0,1,1.000000,0.941176,0.969697
secure,regex,Verträge,unstructured,12,0,0,1.000000,1.000000,1.000000
