policy,mode,domain,structure,label,tp,fp,fn,precision,recall,f1
secure,combined,Chats,regular,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,regular,E_MAIL,4,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,regular,LOC,4,1,0,0.800000,1.000000,0.888889
secure,combined,Chats,regular,ORG,1,3,2,0.250000,0.333333,0.285714
secure,combined,Chats,regular,PER,21,3,1,0.875000,0.954545,0.913043
secure,combined,Chats,regular,PLZ,2,1,0,0.666667,1.000000,0.800000
secure,combined,Chats,regular,STRASSE,3,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,regular,TELEFON,1,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,structured,DATUM,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,structured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,structured,LOC,1,1,0,0.500000,1.000000,0.666667
secure,combined,Chats,structured,ORG,0,6,1,0.000000,0.000000,0.000000
secure,combined,Chats,structured,PER,17,1,1,0.944444,0.944444,0.944444
secure,combined,Chats,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,structured,TELEFON,1,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,structured,URL,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,unstructured,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,unstructured,IP_ADRESSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,unstructured,LOC,2,3,0,0.400000,1.000000,0.571429
secure,combined,Chats,unstructured,ORG,4,3,0,0.571429,1.000000,0.727273
secure,combined,Chats,unstructured,PER,25,1,1,0.961538,0.961538,0.961538
secure,combined,Chats,unstructured,STRASSE,2,0,0,1.000000,1.000000,1.000000
secure,combined,Chats,unstructured,URL,2,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,regular,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,regular,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,regular,LOC,0,1,0,0.000000,0.000000,0.000000
secure,combined,E-Mail,regular,ORG,2,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,regular,PER,1,0,2,1.000000,0.333333,0.500000
secure,combined,E-Mail,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,regular,URL,1,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,structured,DATUM,5,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,structured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,structured,LOC,1,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,structured,ORG,1,2,2,0.333333,0.333333,0.333333
secure,combined,E-Mail,structured,PER,4,0,1,1.000000,0.800000,0.888889
secure,combined,E-Mail,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,unstructured,DATUM,6,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,unstructured,E_MAIL,6,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,unstructured,LOC,0,1,0,0.000000,0.000000,0.000000
secure,combined,E-Mail,unstructured,ORG,4,0,1,1.000000,0.800000,0.888889
secure,combined,E-Mail,unstructured,PER,3,2,3,0.600000,0.500000,0.545455
secure,combined,E-Mail,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,E-Mail,unstructured,URL,1,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,regular,DATUM,7,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,regular,LOC,4,1,1,0.800000,0.800000,0.800000
secure,combined,HR-Dokumente,regular,ORG,6,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,regular,PER,2,1,1,0.666667,0.666667,0.666667
secure,combined,HR-Dokumente,regular,PLZ,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,regular,STRASSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,structured,DATUM,10,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,structured,LOC,2,1,4,0.666667,0.333333,0.444444
secure,combined,HR-Dokumente,structured,ORG,5,3,1,0.625000,0.833333,0.714286
secure,combined,HR-Dokumente,structured,PER,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,structured,PLZ,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,structured,STRASSE,1,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,unstructured,DATUM,5,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,unstructured,E_MAIL,3,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,unstructured,LOC,2,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,unstructured,ORG,5,3,2,0.625000,0.714286,0.666667
secure,combined,HR-Dokumente,unstructured,PER,2,2,1,0.500000,0.666667,0.571429
secure,combined,HR-Dokumente,unstructured,PLZ,1,0,0,1.000000,1.000000,1.000000
secure,combined,HR-Dokumente,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,regular,DATUM,2,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,regular,ORG,0,2,2,0.000000,0.000000,0.000000
secure,combined,Supporttickets,regular,PER,3,2,1,0.600000,0.750000,0.666667
secure,combined,Supporttickets,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,regular,URL,1,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,structured,DATUM,3,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,structured,LOC,0,2,0,0.000000,0.000000,0.000000
secure,combined,Supporttickets,structured,ORG,1,2,2,0.333333,0.333333,0.333333
secure,combined,Supporttickets,structured,PER,2,1,0,0.666667,1.000000,0.800000
secure,combined,Supporttickets,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,structured,URL,2,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,unstructured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,unstructured,LOC,0,1,0,0.000000,0.000000,0.000000
secure,combined,Supporttickets,unstructured,ORG,0,3,2,0.000000,0.000000,0.000000
secure,combined,Supporttickets,unstructured,PER,4,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
secure,combined,Supporttickets,unstructured,URL,2,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,regular,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,regular,LOC,6,0,2,1.000000,0.750000,0.857143
secure,combined,Verträge,regular,ORG,1,1,0,0.500000,1.000000,0.666667
secure,combined,Verträge,regular,PER,7,0,5,1.000000,0.583333,0.736842
secure,combined,Verträge,regular,PLZ,4,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,structured,DATUM,4,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
secure,combined,Verträge,structured,LOC,5,4,4,0.555556,0.555556,0.555556
