policy,mode,domain,label,tp,fp,fn,precision,recall,f1
minimal,combined,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,PER,63,0,3,1.000000,0.954545,0.976744
minimal,combined,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,combined,E-Mail,PER,8,0,6,1.000000,0.571429,0.727273
minimal,combined,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,PER,7,0,1,1.000000,0.875000,0.933333
minimal,combined,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
minimal,combined,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Supporttickets,PER,9,0,1,1.000000,0.900000,0.947368
minimal,combined,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,combined,Verträge,PER,17,0,7,1.000000,0.708333,0.829268
minimal,combined,Verträge,STRASSE,14,0,0,1.000000,1.000000,1.000000
minimal,ner,Chats,PER,63,1,3,0.984375,0.954545,0.969231
minimal,ner,Chats,STRASSE,4,0,2,1.000000,0.666667,0.800000
minimal,ner,E-Mail,PER,8,0,6,1.000000,0.571429,0.727273
minimal,ner,HR-Dokumente,PER,7,0,1,1.000000,0.875000,0.933333
minimal,ner,HR-Dokumente,STRASSE,1,0,1,1.000000,0.500000,0.666667
minimal,ner,Supporttickets,PER,9,0,1,1.000000,0.900000,0.947368
minimal,ner,Verträge,PER,17,1,7,0.944444,0.708333,0.809524
minimal,ner,Verträge,STRASSE,13,0,1,1.000000,0.928571,0.962963
minimal,regex,Chats,E_MAIL,8,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,IP_ADRESSE,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,STRASSE,6,0,0,1.000000,1.000000,1.000000
minimal,regex,Chats,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,E_MAIL,18,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,E_MAIL,7,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,STRASSE,2,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,E_MAIL,6,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,TELEFON,6,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,STRASSE,13,0,1,1.000000,0.928571,0.962963
