policy,mode,domain,tp,fp,fn,precision,recall,f1
minimal,combined,Chats,81,0,3,1.000000,0.964286,0.981818
minimal,combined,E-Mail,33,0,6,1.000000,0.846154,0.916667
minimal,combined,HR-Dokumente,22,0,1,1.000000,0.956522,0.977778
minimal,combined,Supporttickets,21,0,1,1.000000,0.954545,0.976744
minimal,combined,Verträge,31,0,8,1.000000,0.794872,0.885714
minimal,ner,Chats,63,1,9,0.984375,0.875000,0.926471
minimal,ner,E-Mail,8,0,6,1.000000,0.571429,0.727273
minimal,ner,HR-Dokumente,7,0,3,1.000000,0.700000,0.823529
minimal,ner,Supporttickets,9,0,1,1.000000,0.900000,0.947368
minimal,ner,Verträge,17,1,21,0.944444,0.447368,0.607143
minimal,regex,Chats,18,0,0,1.000000,1.000000,1.000000
minimal,regex,E-Mail,25,0,0,1.000000,1.000000,1.000000
minimal,regex,HR-Dokumente,15,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,12,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,14,0,1,1.000000,0.933333,0.965517
